País,n,% aprobó test,Puntaje medio,Idioma dominante,NLP avanzado (%)
España,32,9.4,1.33,Español,40.6
México,15,0.0,0.0,Español,26.7
Perú,15,0.0,0.0,Español,0.0
?,13,7.7,0.96,Español,15.4
Paraguay,11,9.1,1.45,Español,9.1
Argentina,9,33.3,4.67,Español,11.1
Colombia,7,0.0,0.0,Español,0.0
Chile,6,33.3,4.5,Español,0.0
Cuba,4,0.0,0.0,Inglés,25.0
Bolivia,1,0.0,0.0,Español,0.0
CA,1,100.0,13.5,Español,0.0
Ecuador,1,0.0,0.0,Español,0.0
República Dominicana,1,0.0,0.0,Español,0.0
Uruguay,1,0.0,0.0,Español,0.0
Venezuela,1,0.0,0.0,Español,0.0
